Date,Time,Temp,Hum,Lpg,CH3,S,CO
27-11-2022,14:51:36,32.8,71,0,2,0,17.04
27-11-2022,14:52:14,32.8,70,1,2,0,17.27
27-11-2022,14:52:16,32.8,71,2,7,0,17.27
27-11-2022,14:52:19,32.8,71,0,7,0,17.27
27-11-2022,14:52:22,32.8,71,2,8,0,17.27
27-11-2022,14:52:24,32.8,71,0,2,0,17.5
27-11-2022,14:52:27,32.8,71,4,10,3,17.5
27-11-2022,14:52:30,32.8,71,3,10,3,17.5
27-11-2022,14:52:32,32.8,71,0,8,3,17.15
27-11-2022,14:52:35,32.8,71,0,4,3,17.25
27-11-2022,14:52:38,32.8,71,0,4,0,17.27
27-11-2022,14:52:40,32.8,71,0,5,0,17.5
27-11-2022,14:52:43,32.8,71,0,5,0,17.5
27-11-2022,14:52:46,32.8,71,0,4,0,17.04
27-11-2022,14:52:48,33.3,70,0,3,1,17.5
27-11-2022,14:52:51,33.3,70,0,2,1,16.95
27-11-2022,14:52:54,33.3,70,0,0,0,16.58
27-11-2022,14:52:57,33.3,70,0,2,0,16.58
27-11-2022,14:52:59,33.8,70,0,2,0,16.58
27-11-2022,14:53:02,34.2,73,0,2,0,16.58
27-11-2022,14:53:04,34.7,74,0,6,2,16.65
27-11-2022,14:53:07,35.2,74,1,7,2,16.25
27-11-2022,14:53:09,35.6,75,0,10,0,16.2
27-11-2022,14:53:12,36.9,75,3,11,2,16.58
27-11-2022,14:53:15,38,74,0,12,0,16.58
27-11-2022,14:53:17,39,72,0,10,0,16.58
27-11-2022,14:53:20,39.5,71,0,16,0,16.58
27-11-2022,14:53:23,40.6,71,2,24,0,16.58
27-11-2022,14:53:25,41.1,71,0,19,0,16.58
27-11-2022,14:53:28,42,68,6,23,0,16.58
27-11-2022,14:53:31,42.5,66,5,7,0,16.58
27-11-2022,14:53:33,43,62,0,7,0,16.58
27-11-2022,14:53:41,43.9,52,0,5,0,16.58
27-11-2022,14:53:49,43.9,45,0,4,0,16.58
27-11-2022,14:53:57,43.5,45,0,3,0,16.58
27-11-2022,14:54:05,42.5,47,0,2,0,16.35
27-11-2022,14:54:13,41.3,48,0,2,0,16.35
27-11-2022,14:54:21,39.5,54,0,2,0,16.35
27-11-2022,14:54:29,38,62,0,2,0,16.13
27-11-2022,14:54:37,36.9,66,0,2,0,16.13
27-11-2022,14:54:45,36.3,68,0,2,0,16.13
27-11-2022,14:54:53,35.2,70,0,12,0,16.81
27-11-2022,14:55:01,35.2,71,0,8,0,16.81
27-11-2022,14:55:09,35.2,69,0,16,0,16.58
27-11-2022,14:55:17,35.2,68,0,24,1,16.13
27-11-2022,14:55:25,35.2,67,0,19,0,16.13
27-11-2022,14:55:33,34.7,68,0,10,0,16.13
27-11-2022,14:55:41,34.7,69,0,19,1,16.13
27-11-2022,14:55:49,34.2,68,0,23,1,16.13
27-11-2022,14:55:57,34.2,68,0,7,0,15.91
27-11-2022,14:56:05,34.2,67,0,7,0,15.69
27-11-2022,14:56:13,34.2,67,0,4,0,15.91
27-11-2022,14:56:21,34.2,66,0,3,0,16.58
27-11-2022,14:56:24,34.2,66,0,2,0,17.04
27-11-2022,14:56:26,34.2,66,1,2,0,17.27
27-11-2022,14:56:29,34.2,66,2,7,0,17.27
27-11-2022,14:56:32,34.2,66,0,7,0,17.27
27-11-2022,14:56:35,33.8,66,2,8,0,17.27
27-11-2022,14:56:37,33.8,66,0,2,0,17.5
27-11-2022,14:56:40,33.8,66,4,10,3,17.5
27-11-2022,14:56:43,33.8,66,3,10,3,17.5
27-11-2022,14:56:46,33.8,66,0,8,3,17.15
27-11-2022,14:56:48,33.8,66,0,4,3,17.25
27-11-2022,14:56:51,33.8,66,0,4,0,17.27
27-11-2022,14:56:53,33.8,66,0,5,0,17.5
27-11-2022,14:56:56,33.8,66,0,5,0,17.5
27-11-2022,14:56:59,33.8,66,0,4,0,17.04
27-11-2022,14:57:01,33.8,66,0,3,1,17.5
27-11-2022,14:57:04,33.8,66,0,2,1,16.95
27-11-2022,14:57:06,33.8,66,0,0,0,16.58
27-11-2022,14:57:09,33.8,66,0,2,0,16.58
27-11-2022,14:57:12,33.8,66,0,2,0,16.58
27-11-2022,14:57:15,33.8,66,0,2,0,16.58
27-11-2022,14:57:17,33.8,66,0,6,2,16.65
27-11-2022,14:57:20,33.8,67,1,7,2,16.25
27-11-2022,14:57:22,33.8,67,0,10,0,16.2
27-11-2022,14:57:25,33.8,67,3,11,2,16.58
27-11-2022,14:57:28,33.8,67,5,7,0,16.58
27-11-2022,14:57:30,33.8,67,0,7,0,16.58
27-11-2022,14:57:33,33.8,67,0,5,0,16.58
27-11-2022,14:57:36,33.8,67,0,4,0,16.58
27-11-2022,14:57:39,33.8,67,0,3,0,16.58
27-11-2022,14:57:41,33.7,67,0,2,0,16.35
27-11-2022,14:57:44,33.3,67,0,2,0,16.35
27-11-2022,14:57:47,33.3,67,0,2,0,16.35
27-11-2022,14:57:50,33.3,67,0,2,0,16.13
27-11-2022,14:57:53,33.3,67,0,2,0,16.13
27-11-2022,14:57:56,33.3,67,0,2,0,16.13
27-11-2022,14:57:59,33.3,67,1,2,0,17.27
27-11-2022,14:58:01,33.3,67,2,7,0,17.27
27-11-2022,14:51:36,32.8,71,0,2,0,17.04
27-11-2022,14:52:14,32.8,70,1,2,0,17.27
27-11-2022,14:52:16,32.8,71,2,7,0,17.27
27-11-2022,14:52:19,32.8,71,0,7,0,17.27
27-11-2022,14:52:22,32.8,71,2,8,0,17.27
27-11-2022,14:52:24,32.8,71,0,2,0,17.5
27-11-2022,14:52:27,32.8,71,4,10,3,17.5
27-11-2022,14:52:30,32.8,71,3,10,3,17.5
27-11-2022,14:52:32,32.8,71,0,8,3,17.15
27-11-2022,14:52:35,32.8,71,0,4,3,17.25
27-11-2022,14:52:38,32.8,71,0,4,0,17.27
27-11-2022,14:52:40,32.8,71,0,5,0,17.5
27-11-2022,14:52:43,32.8,71,0,5,0,17.5
27-11-2022,14:52:46,32.8,71,0,4,0,17.04
27-11-2022,14:52:48,33.3,70,0,3,1,17.5
27-11-2022,14:52:51,33.3,70,0,2,1,16.95
27-11-2022,14:52:54,33.3,70,0,0,0,16.58
27-11-2022,14:52:57,33.3,70,0,2,0,16.58
27-11-2022,14:52:59,33.8,70,0,2,0,16.58
27-11-2022,07:53:02,34.2,73,0,2,0,16.58
27-11-2022,07:53:04,34.7,74,0,6,2,16.65
27-11-2022,07:53:07,35.2,74,1,7,2,16.25
27-11-2022,07:53:09,35.6,75,0,10,0,16.2
27-11-2022,07:53:12,36.9,75,3,11,2,16.58
27-11-2022,07:53:15,38,74,0,12,0,16.58
27-11-2022,07:53:17,39,72,0,10,0,16.58
27-11-2022,07:53:20,39.5,71,0,16,0,16.58
27-11-2022,07:53:23,40.6,71,2,24,0,16.58
27-11-2022,07:53:25,41.1,71,0,19,0,16.58
27-11-2022,07:53:28,42,68,6,23,0,16.58
27-11-2022,07:53:31,42.5,66,5,7,0,16.58
27-11-2022,07:53:33,43,62,0,7,0,16.58
27-11-2022,07:53:41,43.9,52,0,5,0,16.58
27-11-2022,07:53:49,43.9,45,0,4,0,16.58
27-11-2022,07:53:57,43.5,45,0,3,0,16.58
27-11-2022,07:54:05,42.5,47,0,2,0,16.35
27-11-2022,07:54:13,41.3,48,0,2,0,16.35
27-11-2022,07:54:21,39.5,54,0,2,0,16.35
27-11-2022,07:54:29,38,62,0,2,0,16.13
27-11-2022,07:54:37,36.9,66,0,2,0,16.13
27-11-2022,07:54:45,36.3,68,0,2,0,16.13
27-11-2022,07:54:53,35.2,70,0,12,0,16.81
27-11-2022,07:55:01,35.2,71,0,8,0,16.81
27-11-2022,07:55:09,35.2,69,0,16,0,16.58
27-11-2022,07:55:17,35.2,68,0,24,1,16.13
27-11-2022,07:55:25,35.2,67,0,19,0,16.13
27-11-2022,07:55:33,34.7,68,0,10,0,16.13
27-11-2022,07:55:41,34.7,69,0,19,1,16.13
27-11-2022,07:55:49,34.2,68,0,23,1,16.13
27-11-2022,07:55:57,34.2,68,0,7,0,15.91
27-11-2022,07:56:05,34.2,67,0,7,0,15.69
27-11-2022,07:56:13,34.2,67,0,4,0,15.91
27-11-2022,07:56:21,34.2,66,0,3,0,16.58
27-11-2022,07:56:24,34.2,66,0,2,0,17.04
27-11-2022,07:56:26,34.2,66,1,2,0,17.27
27-11-2022,07:56:29,34.2,66,2,7,0,17.27
27-11-2022,07:56:32,34.2,66,0,7,0,17.27
27-11-2022,07:56:35,33.8,66,2,8,0,17.27
27-11-2022,07:56:37,33.8,66,0,2,0,17.5
27-11-2022,07:56:40,33.8,66,4,10,3,17.5
27-11-2022,07:56:43,33.8,66,3,10,3,17.5
27-11-2022,07:56:46,33.8,66,0,8,3,17.15
27-11-2022,07:56:48,33.8,66,0,4,3,17.25
27-11-2022,07:56:51,33.8,66,0,4,0,17.27
27-11-2022,07:56:53,33.8,66,0,5,0,17.5
27-11-2022,07:56:56,33.8,66,0,5,0,17.5
27-11-2022,07:56:59,33.8,66,0,4,0,17.04
27-11-2022,07:57:01,33.8,66,0,3,1,17.5
27-11-2022,07:57:04,33.8,66,0,2,1,16.95
27-11-2022,07:57:06,33.8,66,0,0,0,16.58
27-11-2022,07:57:09,33.8,66,0,2,0,16.58
27-11-2022,07:57:12,33.8,66,0,2,0,16.58
27-11-2022,07:57:15,33.8,66,0,2,0,16.58
27-11-2022,07:57:17,33.8,66,0,6,2,16.65
27-11-2022,07:57:20,33.8,67,1,7,2,16.25
27-11-2022,07:57:22,33.8,67,0,10,0,16.2
27-11-2022,07:57:25,33.8,67,3,11,2,16.58
27-11-2022,07:57:28,33.8,67,5,7,0,16.58
27-11-2022,07:57:30,33.8,67,0,7,0,16.58
27-11-2022,07:57:33,33.8,67,0,5,0,16.58
27-11-2022,07:57:36,33.8,67,0,4,0,16.58
27-11-2022,07:57:39,33.8,67,0,3,0,16.58
27-11-2022,07:57:41,33.7,67,0,2,0,16.35
27-11-2022,07:57:44,33.3,67,0,2,0,16.35
27-11-2022,07:57:47,33.3,67,0,2,0,16.35
27-11-2022,07:57:50,33.3,67,0,2,0,16.13
27-11-2022,07:57:53,33.3,67,0,2,0,16.13
27-11-2022,07:57:56,33.3,67,0,2,0,16.13
27-11-2022,07:57:59,33.3,67,1,2,0,17.27
27-11-2022,07:58:01,33.3,67,2,7,0,17.27
27-11-2022,07:51:36,32.8,71,0,2,0,17.04
27-11-2022,07:52:07,32.8,70,1,2,0,17.27
27-11-2022,07:52:16,32.8,71,2,7,0,17.27
27-11-2022,07:52:19,32.8,71,0,7,0,17.27
27-11-2022,07:52:22,32.8,71,2,8,0,17.27
27-11-2022,07:52:24,32.8,71,0,2,0,17.5
27-11-2022,07:52:27,32.8,71,4,10,3,17.5
27-11-2022,07:52:30,32.8,71,3,10,3,17.5
27-11-2022,07:52:32,32.8,71,0,8,3,17.15
27-11-2022,07:52:35,32.8,71,0,4,3,17.25
27-11-2022,07:52:38,32.8,71,0,4,0,17.27
27-11-2022,07:52:40,32.8,71,0,5,0,17.5
27-11-2022,07:52:43,32.8,71,0,5,0,17.5
27-11-2022,07:52:46,32.8,71,0,4,0,17.04
27-11-2022,07:52:48,33.3,70,0,3,1,17.5
27-11-2022,07:52:51,33.3,70,0,2,1,16.95
27-11-2022,07:52:54,33.3,70,0,0,0,16.58
27-11-2022,07:52:57,33.3,70,0,2,0,16.58
27-11-2022,07:52:59,33.8,70,0,2,0,16.58
27-11-2022,07:53:02,34.2,73,0,2,0,16.58
27-11-2022,07:53:04,34.7,74,0,6,2,16.65
27-11-2022,07:53:07,35.2,74,1,7,2,16.25
27-11-2022,07:53:09,35.6,75,0,10,0,16.2
27-11-2022,07:53:12,36.9,75,3,11,2,16.58
27-11-2022,07:53:15,38,74,0,12,0,16.58
27-11-2022,07:53:17,39,72,0,10,0,16.58
27-11-2022,07:53:20,39.5,71,0,16,0,16.58
27-11-2022,07:53:23,40.6,71,2,24,0,16.58
27-11-2022,07:53:25,41.1,71,0,19,0,16.58
27-11-2022,07:53:28,42,68,6,23,0,16.58
27-11-2022,07:53:31,42.5,66,5,7,0,16.58
27-11-2022,07:53:33,43,62,0,7,0,16.58
27-11-2022,07:53:41,43.9,52,0,5,0,16.58
27-11-2022,07:53:49,43.9,45,0,4,0,16.58
27-11-2022,07:53:57,43.5,45,0,3,0,16.58
27-11-2022,07:54:05,42.5,47,0,2,0,16.35
27-11-2022,07:54:13,41.3,48,0,2,0,16.35
27-11-2022,07:54:21,39.5,54,0,2,0,16.35
27-11-2022,07:54:29,38,62,0,2,0,16.13
27-11-2022,07:54:37,36.9,66,0,2,0,16.13
27-11-2022,07:54:45,36.3,68,0,2,0,16.13
27-11-2022,07:54:53,35.2,70,0,12,0,16.81
27-11-2022,07:55:01,35.2,71,0,8,0,16.81
27-11-2022,07:55:09,35.2,69,0,16,0,16.58
27-11-2022,07:55:17,35.2,68,0,24,1,16.13
27-11-2022,07:55:25,35.2,67,0,19,0,16.13
27-11-2022,07:55:33,34.7,68,0,10,0,16.13
27-11-2022,07:55:41,34.7,69,0,19,1,16.13
27-11-2022,07:55:49,34.2,68,0,23,1,16.13
27-11-2022,07:55:57,34.2,68,0,7,0,15.91
27-11-2022,07:56:05,34.2,67,0,7,0,15.69
27-11-2022,07:56:13,34.2,67,0,4,0,15.91
27-11-2022,07:56:21,34.2,66,0,3,0,16.58
27-11-2022,07:56:24,34.2,66,0,2,0,17.04
27-11-2022,07:56:26,34.2,66,1,2,0,17.27
27-11-2022,07:56:29,34.2,66,2,7,0,17.27
27-11-2022,07:56:32,34.2,66,0,7,0,17.27
27-11-2022,07:56:35,33.8,66,2,8,0,17.27
27-11-2022,07:56:37,33.8,66,0,2,0,17.5
27-11-2022,07:56:40,33.8,66,4,10,3,17.5
27-11-2022,07:56:43,33.8,66,3,10,3,17.5
27-11-2022,07:56:46,33.8,66,0,8,3,17.15
27-11-2022,07:56:48,33.8,66,0,4,3,17.25
27-11-2022,07:56:51,33.8,66,0,4,0,17.27
27-11-2022,07:56:53,33.8,66,0,5,0,17.5
27-11-2022,07:56:56,33.8,66,0,5,0,17.5
27-11-2022,07:56:59,33.8,66,0,4,0,17.04
27-11-2022,07:57:01,33.8,66,0,3,1,17.5
27-11-2022,07:57:04,33.8,66,0,2,1,16.95
27-11-2022,07:57:06,33.8,66,0,0,0,16.58
27-11-2022,07:57:09,33.8,66,0,2,0,16.58
27-11-2022,07:57:12,33.8,66,0,2,0,16.58
27-11-2022,07:57:15,33.8,66,0,2,0,16.58
27-11-2022,07:57:17,33.8,66,0,6,2,16.65
27-11-2022,07:57:20,33.8,67,1,7,2,16.25
27-11-2022,07:57:22,33.8,67,0,10,0,16.2
27-11-2022,07:57:25,33.8,67,3,11,2,16.58
27-11-2022,07:57:28,33.8,67,5,7,0,16.58
27-11-2022,07:57:30,33.8,67,0,7,0,16.58
27-11-2022,07:57:33,33.8,67,0,5,0,16.58
27-11-2022,07:57:36,33.8,67,0,4,0,16.58
27-11-2022,07:57:39,33.8,67,0,3,0,16.58
27-11-2022,07:57:41,33.7,67,0,2,0,16.35
27-11-2022,07:57:44,33.3,67,0,2,0,16.35
27-11-2022,07:57:47,33.3,67,0,2,0,16.35
27-11-2022,07:57:50,33.3,67,0,2,0,16.13
27-11-2022,07:57:53,33.3,67,0,2,0,16.13
27-11-2022,07:57:56,33.3,67,0,2,0,16.13
27-11-2022,07:57:59,33.3,67,1,2,0,17.27
27-11-2022,07:58:01,33.3,67,2,7,0,17.27
27-11-2022,07:51:36,32.8,71,0,2,0,17.04
27-11-2022,07:52:07,32.8,70,1,2,0,17.27
27-11-2022,07:52:16,32.8,71,2,7,0,17.27
27-11-2022,07:52:19,32.8,71,0,7,0,17.27
27-11-2022,07:52:22,32.8,71,2,8,0,17.27
27-11-2022,07:52:24,32.8,71,0,2,0,17.5
27-11-2022,07:52:27,32.8,71,4,10,3,17.5
27-11-2022,07:52:30,32.8,71,3,10,3,17.5
27-11-2022,07:52:32,32.8,71,0,8,3,17.15
27-11-2022,07:52:35,32.8,71,0,4,3,17.25
27-11-2022,07:52:38,32.8,71,0,4,0,17.27
27-11-2022,07:52:40,32.8,71,0,5,0,17.5
27-11-2022,07:52:43,32.8,71,0,5,0,17.5
27-11-2022,07:52:46,32.8,71,0,4,0,17.04
27-11-2022,07:52:48,33.3,70,0,3,1,17.5
27-11-2022,07:52:51,33.3,70,0,2,1,16.95
27-11-2022,07:52:54,33.3,70,0,0,0,16.58
27-11-2022,07:52:57,33.3,70,0,2,0,16.58
27-11-2022,07:52:59,33.8,70,0,2,0,16.58
27-11-2022,07:53:02,34.2,73,0,2,0,16.58
27-11-2022,07:53:04,34.7,74,0,6,2,16.65
27-11-2022,07:53:07,35.2,74,1,7,2,16.25
27-11-2022,07:53:09,35.6,75,0,10,0,16.2
27-11-2022,07:53:12,36.9,75,3,11,2,16.58
27-11-2022,07:53:15,38,74,0,12,0,16.58
27-11-2022,07:53:17,39,72,0,10,0,16.58
27-11-2022,07:53:20,39.5,71,0,16,0,16.58
27-11-2022,07:53:23,40.6,71,2,24,0,16.58
27-11-2022,07:53:25,41.1,71,0,19,0,16.58
27-11-2022,07:53:28,42,68,6,23,0,16.58
27-11-2022,07:53:31,42.5,66,5,7,0,16.58
27-11-2022,07:53:33,43,62,0,7,0,16.58
27-11-2022,07:53:41,43.9,52,0,5,0,16.58
27-11-2022,07:53:49,43.9,45,0,4,0,16.58
27-11-2022,07:53:57,43.5,45,0,3,0,16.58
27-11-2022,07:54:05,42.5,47,0,2,0,16.35
27-11-2022,07:54:13,41.3,48,0,2,0,16.35
27-11-2022,07:54:21,39.5,54,0,2,0,16.35
27-11-2022,07:54:29,38,62,0,2,0,16.13
27-11-2022,07:54:37,36.9,66,0,2,0,16.13
27-11-2022,07:54:45,36.3,68,0,2,0,16.13
27-11-2022,07:54:53,35.2,70,0,12,0,16.81
27-11-2022,07:55:01,35.2,71,0,8,0,16.81
27-11-2022,07:55:09,35.2,69,0,16,0,16.58
27-11-2022,07:55:17,35.2,68,0,24,1,16.13
27-11-2022,07:55:25,35.2,67,0,19,0,16.13
27-11-2022,07:55:33,34.7,68,0,10,0,16.13
27-11-2022,07:55:41,34.7,69,0,19,1,16.13
27-11-2022,07:55:49,34.2,68,0,23,1,16.13
27-11-2022,07:55:57,34.2,68,0,7,0,15.91
27-11-2022,07:56:05,34.2,67,0,7,0,15.69
27-11-2022,07:56:13,34.2,67,0,4,0,15.91
27-11-2022,07:56:21,34.2,66,0,3,0,16.58
27-11-2022,07:56:24,34.2,66,0,2,0,17.04
27-11-2022,07:56:26,34.2,66,1,2,0,17.27
27-11-2022,07:56:29,34.2,66,2,7,0,17.27
27-11-2022,07:56:32,34.2,66,0,7,0,17.27
27-11-2022,07:56:35,33.8,66,2,8,0,17.27
27-11-2022,07:56:37,33.8,66,0,2,0,17.5
27-11-2022,07:56:40,33.8,66,4,10,3,17.5
27-11-2022,07:56:43,33.8,66,3,10,3,17.5
27-11-2022,07:56:46,33.8,66,0,8,3,17.15
27-11-2022,07:56:48,33.8,66,0,4,3,17.25
27-11-2022,07:56:51,33.8,66,0,4,0,17.27
27-11-2022,07:56:53,33.8,66,0,5,0,17.5
27-11-2022,07:56:56,33.8,66,0,5,0,17.5
27-11-2022,07:56:59,33.8,66,0,4,0,17.04
27-11-2022,07:57:01,33.8,66,0,3,1,17.5
27-11-2022,07:57:04,33.8,66,0,2,1,16.95
27-11-2022,07:57:06,33.8,66,0,0,0,16.58
27-11-2022,07:57:09,33.8,66,0,2,0,16.58
27-11-2022,07:57:12,33.8,66,0,2,0,16.58
27-11-2022,07:57:15,33.8,66,0,2,0,16.58
27-11-2022,07:57:17,33.8,66,0,6,2,16.65
27-11-2022,07:57:20,33.8,67,1,7,2,16.25
27-11-2022,07:57:22,33.8,67,0,10,0,16.2
27-11-2022,07:57:25,33.8,67,3,11,2,16.58
27-11-2022,07:57:28,33.8,67,5,7,0,16.58
27-11-2022,07:57:30,33.8,67,0,7,0,16.58
27-11-2022,07:57:33,33.8,67,0,5,0,16.58
27-11-2022,07:57:36,33.8,67,0,4,0,16.58
27-11-2022,07:57:39,33.8,67,0,3,0,16.58
27-11-2022,07:57:41,33.7,67,0,2,0,16.35
27-11-2022,07:57:44,33.3,67,0,2,0,16.35
27-11-2022,07:57:47,33.3,67,0,2,0,16.35
27-11-2022,07:57:50,33.3,67,0,2,0,16.13
27-11-2022,07:57:53,33.3,67,0,2,0,16.13
27-11-2022,07:57:56,33.3,67,0,2,0,16.13
27-11-2022,07:57:59,33.3,67,1,2,0,17.27
27-11-2022,07:58:01,33.3,67,2,7,0,17.27
27-11-2022,14:52:43,32.8,71,0,5,0,17.5
27-11-2022,14:52:46,32.8,71,0,4,0,17.04
27-11-2022,14:52:48,33.3,70,0,3,1,17.5
27-11-2022,14:52:51,33.3,70,0,2,1,16.95
27-11-2022,14:52:54,33.3,70,0,0,0,16.58
27-11-2022,14:52:57,33.3,70,0,2,0,16.58
27-11-2022,14:52:59,33.8,70,0,2,0,16.58
27-11-2022,14:53:02,34.2,73,0,2,0,16.58
27-11-2022,14:53:04,34.7,74,0,6,2,16.65
27-11-2022,14:53:07,35.2,74,1,7,2,16.25
27-11-2022,14:53:09,35.6,75,0,10,0,16.2
27-11-2022,14:53:12,36.9,75,3,11,2,16.58
27-11-2022,14:53:15,38,74,0,12,0,16.58
27-11-2022,14:53:17,39,72,0,10,0,16.58
27-11-2022,14:53:20,39.5,71,0,16,0,16.58
27-11-2022,14:53:23,40.6,71,2,24,0,16.58
27-11-2022,14:53:25,41.1,71,0,19,0,16.58
27-11-2022,14:53:28,42,68,6,23,0,16.58
27-11-2022,14:53:31,42.5,66,5,7,0,16.58
27-11-2022,14:53:33,43,62,0,7,0,16.58
27-11-2022,14:53:41,43.9,52,0,5,0,16.58
27-11-2022,14:53:49,43.9,45,0,4,0,16.58
27-11-2022,14:53:57,43.5,45,0,3,0,16.58
27-11-2022,14:54:05,42.5,47,0,2,0,16.35
27-11-2022,14:54:13,41.3,48,0,2,0,16.35
27-11-2022,14:54:21,39.5,54,0,2,0,16.35
27-11-2022,14:54:29,38,62,0,2,0,16.13
27-11-2022,14:54:37,36.9,66,0,2,0,16.13
27-11-2022,14:54:45,36.3,68,0,2,0,16.13
27-11-2022,14:54:53,35.2,70,0,12,0,16.81
27-11-2022,14:55:01,35.2,71,0,8,0,16.81
27-11-2022,14:55:09,35.2,69,0,16,0,16.58
27-11-2022,14:55:17,35.2,68,0,24,1,16.13
27-11-2022,14:55:25,35.2,67,0,19,0,16.13
27-11-2022,14:52:43,32.8,71,0,5,0,17.5
27-11-2022,14:52:46,32.8,71,0,4,0,17.04
27-11-2022,14:52:48,33.3,70,0,3,1,17.5
27-11-2022,14:52:51,33.3,70,0,2,1,16.95
27-11-2022,14:52:54,33.3,70,0,0,0,16.58
27-11-2022,14:52:57,33.3,70,0,2,0,16.58
